"Year_of_Death","County_of_Residence","Age","Sex","Total_Deaths_sex","Description"
2016,"Lake","20 - 24 years","Male",6,"rural"
2018,"Lake","100 years and over","Male",6,"rural"
2018,"Lake","80 - 84 years","Female",49,"rural"
2018,"Lake","80 - 84 years","Male",48,"rural"
2018,"Lake","95 - 99 years","Male",11,"rural"
2018,"Lake","15 - 19 years","Female",0,"rural"
2018,"Lake","55 - 59 years","Male",44,"rural"
2018,"Lake","60 - 64 years","Female",34,"rural"
2018,"Lake","75 - 79 years","Male",52,"rural"
2018,"Lake","60 - 64 years","Male",55,"rural"
2018,"Lake","40 - 44 years","Female",6,"rural"
2018,"Lake","20 - 24 years","Female",6,"rural"
2018,"Lake","15 - 19 years","Male",0,"rural"
2018,"Lake","Less than 1 year","Male",6,"rural"
2016,"Lake","70 - 74 years","Male",54,"rural"
2018,"Lake","Less than 1 year","Female",6,"rural"
2018,"Lake","1 - 4 years","Female",6,"rural"
2017,"Lake","35 - 39 years","Female",6,"rural"
2017,"Lake","40 - 44 years","Female",6,"rural"
2017,"Lake","45 - 49 years","Male",15,"rural"
2017,"Lake","30 - 34 years","Male",6,"rural"
2017,"Lake","45 - 49 years","Female",12,"rural"
2017,"Lake","50 - 54 years","Female",14,"rural"
2017,"Lake","55 - 59 years","Male",43,"rural"
2017,"Lake","55 - 59 years","Female",24,"rural"
2017,"Lake","60 - 64 years","Male",53,"rural"
2017,"Lake","60 - 64 years","Female",38,"rural"
2017,"Lake","65 - 69 years","Male",56,"rural"
2017,"Lake","50 - 54 years","Male",23,"rural"
2017,"Lake","65 - 69 years","Female",43,"rural"
2017,"Lake","70 - 74 years","Female",37,"rural"
2017,"Lake","75 - 79 years","Male",57,"rural"
2017,"Lake","75 - 79 years","Female",44,"rural"
2017,"Lake","25 - 29 years","Male",6,"rural"
2017,"Lake","70 - 74 years","Male",70,"rural"
2017,"Lake","30 - 34 years","Female",6,"rural"
2020,"Lake","50 - 54 years","Female",12,"rural"
2021,"Lake","95 - 99 years","Female",6,"rural"
2019,"Lake","10 - 14 years","Female",0,"rural"
2021,"Lake","100 years and over","Male",6,"rural"
2019,"Lake","100 years and over","Female",6,"rural"
2021,"Lake","80 - 84 years","Male",17,"rural"
2019,"Lake","100 years and over","Male",6,"rural"
2021,"Lake","65 - 69 years","Female",12,"rural"
2020,"Lake","5 - 9 years","Female",0,"rural"
2021,"Lake","70 - 74 years","Female",18,"rural"
2021,"Lake","70 - 74 years","Male",16,"rural"
2020,"Lake","1 - 4 years","Female",0,"rural"
2020,"Lake","5 - 9 years","Male",0,"rural"
2020,"Lake","10 - 14 years","Female",0,"rural"
2020,"Lake","10 - 14 years","Male",0,"rural"
2020,"Lake","15 - 19 years","Female",0,"rural"
2020,"Lake","1 - 4 years","Male",0,"rural"
2020,"Lake","20 - 24 years","Male",6,"rural"
2020,"Lake","20 - 24 years","Female",6,"rural"
2020,"Lake","25 - 29 years","Female",6,"rural"
2020,"Lake","30 - 34 years","Female",6,"rural"
2020,"Lake","25 - 29 years","Male",6,"rural"
2020,"Lake","30 - 34 years","Male",6,"rural"
2020,"Lake","Less than 1 year","Male",6,"rural"
2020,"Lake","15 - 19 years","Male",6,"rural"
2021,"Lake","80 - 84 years","Female",17,"rural"
2021,"Lake","75 - 79 years","Male",28,"rural"
2019,"Lake","90 - 94 years","Female",32,"rural"
2021,"Lake","60 - 64 years","Female",6,"rural"
2021,"Lake","75 - 79 years","Female",29,"rural"
2021,"Lake","90 - 94 years","Male",6,"rural"
2021,"Lake","60 - 64 years","Male",23,"rural"
2019,"Lake","95 - 99 years","Female",23,"rural"
2019,"Lake","90 - 94 years","Male",36,"rural"
2019,"Lake","80 - 84 years","Male",43,"rural"
2019,"Lake","75 - 79 years","Male",80,"rural"
2019,"Lake","75 - 79 years","Female",39,"rural"
2019,"Lake","70 - 74 years","Male",63,"rural"
2019,"Lake","60 - 64 years","Male",44,"rural"
2019,"Lake","55 - 59 years","Female",24,"rural"
2019,"Lake","50 - 54 years","Male",35,"rural"
2019,"Lake","40 - 44 years","Male",6,"rural"
2021,"Lake","50 - 54 years","Male",6,"rural"
2019,"Lake","35 - 39 years","Female",6,"rural"
2019,"Lake","30 - 34 years","Male",6,"rural"
2019,"Lake","20 - 24 years","Male",6,"rural"
2019,"Lake","15 - 19 years","Female",6,"rural"
2019,"Lake","10 - 14 years","Male",6,"rural"
2019,"Lake","1 - 4 years","Male",0,"rural"
2019,"Lake","1 - 4 years","Female",0,"rural"
2019,"Lake","Less than 1 year","Male",6,"rural"
2019,"Lake","Less than 1 year","Female",6,"rural"
2021,"Lake","45 - 49 years","Female",6,"rural"
2021,"Lake","40 - 44 years","Male",6,"rural"
2021,"Lake","40 - 44 years","Female",6,"rural"
2021,"Lake","35 - 39 years","Male",6,"rural"
2020,"Lake","90 - 94 years","Male",21,"rural"
2021,"Lake","35 - 39 years","Female",6,"rural"
2021,"Lake","30 - 34 years","Male",0,"rural"
2021,"Lake","30 - 34 years","Female",6,"rural"
2020,"Lake","85 - 89 years","Male",42,"rural"
2021,"Lake","25 - 29 years","Male",6,"rural"
2021,"Lake","25 - 29 years","Female",6,"rural"
2021,"Lake","20 - 24 years","Male",6,"rural"
2021,"Lake","20 - 24 years","Female",6,"rural"
2021,"Lake","85 - 89 years","Female",6,"rural"
2021,"Lake","15 - 19 years","Male",6,"rural"
2020,"Lake","85 - 89 years","Female",51,"rural"
2021,"Lake","15 - 19 years","Female",0,"rural"
2021,"Lake","10 - 14 years","Male",0,"rural"
2021,"Lake","10 - 14 years","Female",0,"rural"
2020,"Lake","65 - 69 years","Male",56,"rural"
2021,"Lake","5 - 9 years","Male",0,"rural"
2021,"Lake","5 - 9 years","Female",0,"rural"
2020,"Lake","75 - 79 years","Female",46,"rural"
2021,"Lake","1 - 4 years","Male",0,"rural"
2021,"Lake","1 - 4 years","Female",0,"rural"
2021,"Lake","Less than 1 year","Male",0,"rural"
2020,"Lake","65 - 69 years","Female",48,"rural"
2021,"Lake","Less than 1 year","Female",6,"rural"
2021,"Lake","85 - 89 years","Male",13,"rural"
2019,"Lake","50 - 54 years","Female",17,"rural"
2020,"Lake","40 - 44 years","Male",16,"rural"
2019,"Lake","5 - 9 years","Male",0,"rural"
2021,"Lake","50 - 54 years","Female",6,"rural"
2019,"Lake","5 - 9 years","Female",0,"rural"
2019,"Lake","15 - 19 years","Male",0,"rural"
2019,"Lake","25 - 29 years","Male",6,"rural"
2019,"Lake","25 - 29 years","Female",6,"rural"
2020,"Lake","45 - 49 years","Male",6,"rural"
2020,"Lake","55 - 59 years","Female",21,"rural"
2020,"Lake","50 - 54 years","Male",26,"rural"
2020,"Lake","55 - 59 years","Male",35,"rural"
2020,"Lake","60 - 64 years","Male",63,"rural"
2020,"Lake","70 - 74 years","Female",47,"rural"
2020,"Lake","60 - 64 years","Female",33,"rural"
2020,"Lake","70 - 74 years","Male",57,"rural"
2020,"Lake","75 - 79 years","Male",56,"rural"
2020,"Lake","80 - 84 years","Male",51,"rural"
2020,"Lake","90 - 94 years","Female",33,"rural"
2020,"Lake","80 - 84 years","Female",48,"rural"
2020,"Lake","95 - 99 years","Female",22,"rural"
2020,"Lake","40 - 44 years","Female",6,"rural"
2020,"Lake","45 - 49 years","Female",6,"rural"
2019,"Lake","55 - 59 years","Male",45,"rural"
2020,"Lake","Less than 1 year","Female",6,"rural"
2019,"Lake","45 - 49 years","Male",12,"rural"
2019,"Lake","65 - 69 years","Female",35,"rural"
2019,"Lake","85 - 89 years","Female",41,"rural"
2019,"Lake","95 - 99 years","Male",12,"rural"
2021,"Lake","90 - 94 years","Female",16,"rural"
2019,"Lake","85 - 89 years","Male",44,"rural"
2021,"Lake","65 - 69 years","Male",14,"rural"
2019,"Lake","45 - 49 years","Female",6,"rural"
2021,"Lake","100 years and over","Female",6,"rural"
2021,"Lake","45 - 49 years","Male",6,"rural"
2019,"Lake","20 - 24 years","Female",6,"rural"
2019,"Lake","30 - 34 years","Female",6,"rural"
2019,"Lake","60 - 64 years","Female",41,"rural"
2021,"Lake","55 - 59 years","Female",6,"rural"
2019,"Lake","70 - 74 years","Female",43,"rural"
2021,"Lake","55 - 59 years","Male",15,"rural"
2019,"Lake","40 - 44 years","Female",6,"rural"
2019,"Lake","65 - 69 years","Male",68,"rural"
2019,"Lake","80 - 84 years","Female",43,"rural"
2021,"Lake","95 - 99 years","Male",6,"rural"
2020,"Lake","35 - 39 years","Female",6,"rural"
2020,"Lake","100 years and over","Male",6,"rural"
2019,"Lake","35 - 39 years","Male",6,"rural"
2020,"Lake","95 - 99 years","Male",13,"rural"
2020,"Lake","100 years and over","Female",0,"rural"
2020,"Lake","35 - 39 years","Male",6,"rural"
2019,"Lassen","95 - 99 years","Male",6,"rural"
2021,"Lassen","75 - 79 years","Female",6,"rural"
2021,"Lassen","75 - 79 years","Male",6,"rural"
2019,"Lassen","95 - 99 years","Female",6,"rural"
2021,"Lassen","85 - 89 years","Female",6,"rural"
2021,"Lassen","35 - 39 years","Female",6,"rural"
2019,"Lassen","85 - 89 years","Male",14,"rural"
2021,"Lassen","35 - 39 years","Male",6,"rural"
2021,"Lassen","45 - 49 years","Female",0,"rural"
2021,"Lassen","40 - 44 years","Male",6,"rural"
2021,"Lassen","30 - 34 years","Male",6,"rural"
2021,"Lassen","80 - 84 years","Female",6,"rural"
2021,"Lassen","5 - 9 years","Female",0,"rural"
2019,"Lassen","1 - 4 years","Female",0,"rural"
2019,"Lassen","10 - 14 years","Female",0,"rural"
2019,"Lassen","20 - 24 years","Female",0,"rural"
2019,"Lassen","35 - 39 years","Female",6,"rural"
2019,"Lassen","30 - 34 years","Female",6,"rural"
2019,"Lassen","40 - 44 years","Female",6,"rural"
2019,"Lassen","50 - 54 years","Female",6,"rural"
2020,"Lassen","65 - 69 years","Female",6,"rural"
2020,"Lassen","50 - 54 years","Male",6,"rural"
2020,"Lassen","55 - 59 years","Female",6,"rural"
2020,"Lassen","60 - 64 years","Female",6,"rural"
2020,"Lassen","60 - 64 years","Male",17,"rural"
2020,"Lassen","50 - 54 years","Female",6,"rural"
2020,"Lassen","65 - 69 years","Male",12,"rural"
2020,"Lassen","45 - 49 years","Male",6,"rural"
2020,"Lassen","70 - 74 years","Female",6,"rural"
2020,"Lassen","75 - 79 years","Female",6,"rural"
2020,"Lassen","70 - 74 years","Male",21,"rural"
2020,"Lassen","80 - 84 years","Male",6,"rural"
2020,"Lassen","85 - 89 years","Female",13,"rural"
2020,"Lassen","80 - 84 years","Female",6,"rural"
2020,"Lassen","40 - 44 years","Male",6,"rural"
2020,"Lassen","45 - 49 years","Female",6,"rural"
2020,"Lassen","75 - 79 years","Male",18,"rural"
2021,"Lassen","90 - 94 years","Female",6,"rural"
2021,"Lassen","95 - 99 years","Male",0,"rural"
2021,"Lassen","95 - 99 years","Female",0,"rural"
2021,"Lassen","55 - 59 years","Female",6,"rural"
2021,"Lassen","55 - 59 years","Male",6,"rural"
2021,"Lassen","45 - 49 years","Male",0,"rural"
2021,"Lassen","85 - 89 years","Male",6,"rural"
2021,"Lassen","10 - 14 years","Female",0,"rural"
2021,"Lassen","5 - 9 years","Male",0,"rural"
2021,"Lassen","15 - 19 years","Female",0,"rural"
2019,"Lassen","90 - 94 years","Female",13,"rural"
2019,"Lassen","80 - 84 years","Female",18,"rural"
2019,"Lassen","100 years and over","Female",6,"rural"
2019,"Lassen","75 - 79 years","Female",16,"rural"
2019,"Lassen","70 - 74 years","Female",6,"rural"
2020,"Lassen","95 - 99 years","Male",6,"rural"
2021,"Lassen","25 - 29 years","Female",0,"rural"
2021,"Lassen","100 years and over","Female",0,"rural"
2020,"Lassen","20 - 24 years","Male",6,"rural"
2021,"Lassen","40 - 44 years","Female",6,"rural"
2021,"Lassen","90 - 94 years","Male",6,"rural"
2021,"Lassen","80 - 84 years","Male",6,"rural"
2021,"Lassen","70 - 74 years","Male",6,"rural"
2021,"Lassen","60 - 64 years","Male",6,"rural"
2021,"Lassen","50 - 54 years","Male",6,"rural"
2019,"Lassen","75 - 79 years","Male",15,"rural"
2021,"Lassen","50 - 54 years","Female",6,"rural"
2020,"Lassen","55 - 59 years","Male",6,"rural"
2021,"Lassen","20 - 24 years","Male",6,"rural"
2021,"Lassen","10 - 14 years","Male",0,"rural"
2021,"Lassen","1 - 4 years","Male",0,"rural"
2021,"Lassen","1 - 4 years","Female",0,"rural"
2021,"Lassen","Less than 1 year","Male",0,"rural"
2021,"Lassen","Less than 1 year","Female",0,"rural"
2019,"Lassen","100 years and over","Male",0,"rural"
2019,"Lassen","90 - 94 years","Male",6,"rural"
2019,"Lassen","85 - 89 years","Female",11,"rural"
2019,"Lassen","80 - 84 years","Male",15,"rural"
2019,"Lassen","70 - 74 years","Male",20,"rural"
2019,"Lassen","65 - 69 years","Female",6,"rural"
2019,"Lassen","60 - 64 years","Male",11,"rural"
2019,"Lassen","50 - 54 years","Male",6,"rural"
2019,"Lassen","45 - 49 years","Male",6,"rural"
2019,"Lassen","45 - 49 years","Female",0,"rural"
2019,"Lassen","40 - 44 years","Male",6,"rural"
2019,"Lassen","30 - 34 years","Male",6,"rural"
2019,"Lassen","25 - 29 years","Female",0,"rural"
2019,"Lassen","20 - 24 years","Male",0,"rural"
2019,"Lassen","10 - 14 years","Male",0,"rural"
2019,"Lassen","5 - 9 years","Male",0,"rural"
2019,"Lassen","5 - 9 years","Female",0,"rural"
2019,"Lassen","1 - 4 years","Male",0,"rural"
2019,"Lassen","Less than 1 year","Male",0,"rural"
2019,"Lassen","Less than 1 year","Female",6,"rural"
2020,"Lassen","90 - 94 years","Male",6,"rural"
2021,"Lassen","20 - 24 years","Female",0,"rural"
2020,"Lassen","90 - 94 years","Female",6,"rural"
2020,"Lassen","95 - 99 years","Female",6,"rural"
2020,"Lassen","100 years and over","Male",0,"rural"
2020,"Lassen","100 years and over","Female",6,"rural"
2021,"Lassen","100 years and over","Male",0,"rural"
2021,"Lassen","65 - 69 years","Female",6,"rural"
2021,"Lassen","70 - 74 years","Female",6,"rural"
2021,"Lassen","65 - 69 years","Male",11,"rural"
2019,"Lassen","60 - 64 years","Female",6,"rural"
2021,"Lassen","25 - 29 years","Male",0,"rural"
2021,"Lassen","30 - 34 years","Female",0,"rural"
2021,"Lassen","60 - 64 years","Female",6,"rural"
2019,"Lassen","15 - 19 years","Male",0,"rural"
2019,"Lassen","25 - 29 years","Male",0,"rural"
2021,"Lassen","15 - 19 years","Male",0,"rural"
2019,"Lassen","15 - 19 years","Female",0,"rural"
2019,"Lassen","55 - 59 years","Female",6,"rural"
2019,"Lassen","55 - 59 years","Male",17,"rural"
2019,"Lassen","65 - 69 years","Male",22,"rural"
2020,"Lassen","1 - 4 years","Female",0,"rural"
2020,"Lassen","Less than 1 year","Male",0,"rural"
2020,"Lassen","5 - 9 years","Female",0,"rural"
2020,"Lassen","1 - 4 years","Male",0,"rural"
2020,"Lassen","10 - 14 years","Female",0,"rural"
2020,"Lassen","5 - 9 years","Male",0,"rural"
2020,"Lassen","Less than 1 year","Female",6,"rural"
2020,"Lassen","10 - 14 years","Male",0,"rural"
2020,"Lassen","20 - 24 years","Female",0,"rural"
2020,"Lassen","15 - 19 years","Male",0,"rural"
2020,"Lassen","25 - 29 years","Female",6,"rural"
2020,"Lassen","15 - 19 years","Female",0,"rural"
2020,"Lassen","30 - 34 years","Female",0,"rural"
2020,"Lassen","25 - 29 years","Male",6,"rural"
2020,"Lassen","30 - 34 years","Male",6,"rural"
2020,"Lassen","40 - 44 years","Female",0,"rural"
2020,"Lassen","35 - 39 years","Male",6,"rural"
2020,"Lassen","85 - 89 years","Male",6,"rural"
2020,"Lassen","35 - 39 years","Female",6,"rural"
2019,"Lassen","35 - 39 years","Male",6,"rural"
2016,"Lassen","80 - 84 years","Male",6,"rural"
2018,"Lassen","15 - 19 years","Male",0,"rural"
2016,"Lassen","95 - 99 years","Male",6,"rural"
2016,"Lassen","90 - 94 years","Male",6,"rural"
2016,"Lassen","100 years and over","Male",0,"rural"
2018,"Lassen","Less than 1 year","Female",0,"rural"
2016,"Lassen","75 - 79 years","Male",13,"rural"
2018,"Lassen","Less than 1 year","Male",6,"rural"
2018,"Lassen","1 - 4 years","Male",0,"rural"
2018,"Lassen","100 years and over","Male",0,"rural"
2018,"Lassen","5 - 9 years","Female",0,"rural"
2018,"Lassen","100 years and over","Female",6,"rural"
2018,"Lassen","95 - 99 years","Male",6,"rural"
2018,"Lassen","95 - 99 years","Female",6,"rural"
2018,"Lassen","90 - 94 years","Male",14,"rural"
2018,"Lassen","90 - 94 years","Female",14,"rural"
2018,"Lassen","85 - 89 years","Female",16,"rural"
2018,"Lassen","80 - 84 years","Male",6,"rural"
2018,"Lassen","80 - 84 years","Female",15,"rural"
2018,"Lassen","75 - 79 years","Male",18,"rural"
2018,"Lassen","75 - 79 years","Female",24,"rural"
2018,"Lassen","70 - 74 years","Male",23,"rural"
2018,"Lassen","70 - 74 years","Female",6,"rural"
2018,"Lassen","65 - 69 years","Male",16,"rural"
2018,"Lassen","65 - 69 years","Female",6,"rural"
2018,"Lassen","60 - 64 years","Male",11,"rural"
2018,"Lassen","60 - 64 years","Female",6,"rural"
2018,"Lassen","55 - 59 years","Male",6,"rural"
2018,"Lassen","55 - 59 years","Female",6,"rural"
2018,"Lassen","50 - 54 years","Male",6,"rural"
2018,"Lassen","50 - 54 years","Female",6,"rural"
2018,"Lassen","45 - 49 years","Male",6,"rural"
2018,"Lassen","45 - 49 years","Female",6,"rural"
2018,"Lassen","40 - 44 years","Male",6,"rural"
2018,"Lassen","85 - 89 years","Male",12,"rural"
2018,"Lassen","40 - 44 years","Female",6,"rural"
2018,"Lassen","35 - 39 years","Male",6,"rural"
2018,"Lassen","35 - 39 years","Female",0,"rural"
2018,"Lassen","30 - 34 years","Male",6,"rural"
2018,"Lassen","30 - 34 years","Female",6,"rural"
2018,"Lassen","25 - 29 years","Male",6,"rural"
2018,"Lassen","25 - 29 years","Female",0,"rural"
2018,"Lassen","20 - 24 years","Female",0,"rural"
2018,"Lassen","15 - 19 years","Female",0,"rural"
2018,"Lassen","5 - 9 years","Male",0,"rural"
2018,"Lassen","1 - 4 years","Female",0,"rural"
2018,"Lassen","20 - 24 years","Male",6,"rural"
2017,"Lassen","10 - 14 years","Male",0,"rural"
2017,"Lassen","Less than 1 year","Female",6,"rural"
2017,"Lassen","Less than 1 year","Male",6,"rural"
2017,"Lassen","1 - 4 years","Female",0,"rural"
2017,"Lassen","1 - 4 years","Male",0,"rural"
2017,"Lassen","10 - 14 years","Female",0,"rural"
2017,"Lassen","5 - 9 years","Male",0,"rural"
2017,"Lassen","15 - 19 years","Male",6,"rural"
2017,"Lassen","20 - 24 years","Female",0,"rural"
2017,"Lassen","15 - 19 years","Female",0,"rural"
2017,"Lassen","5 - 9 years","Female",0,"rural"
2017,"Lassen","20 - 24 years","Male",6,"rural"
2017,"Lassen","25 - 29 years","Female",6,"rural"
2017,"Lassen","25 - 29 years","Male",0,"rural"
2017,"Lassen","30 - 34 years","Female",6,"rural"
2017,"Lassen","35 - 39 years","Female",0,"rural"
2017,"Lassen","30 - 34 years","Male",6,"rural"
2017,"Lassen","35 - 39 years","Male",6,"rural"
2017,"Lassen","45 - 49 years","Female",6,"rural"
2017,"Lassen","40 - 44 years","Male",6,"rural"
2017,"Lassen","45 - 49 years","Male",6,"rural"
2016,"Lassen","70 - 74 years","Male",13,"rural"
2017,"Lassen","55 - 59 years","Female",6,"rural"
2017,"Lassen","50 - 54 years","Male",6,"rural"
2017,"Lassen","60 - 64 years","Female",6,"rural"
2017,"Lassen","50 - 54 years","Female",6,"rural"
2017,"Lassen","55 - 59 years","Male",6,"rural"
2017,"Lassen","65 - 69 years","Female",6,"rural"
2017,"Lassen","60 - 64 years","Male",13,"rural"
2017,"Lassen","70 - 74 years","Male",18,"rural"
2017,"Lassen","70 - 74 years","Female",15,"rural"
2017,"Lassen","65 - 69 years","Male",14,"rural"
2017,"Lassen","40 - 44 years","Female",6,"rural"
2016,"Lassen","Less than 1 year","Male",0,"rural"
2016,"Lassen","1 - 4 years","Male",0,"rural"
2016,"Lassen","10 - 14 years","Male",0,"rural"
2016,"Lassen","15 - 19 years","Male",6,"rural"
2016,"Lassen","30 - 34 years","Male",6,"rural"
2016,"Lassen","25 - 29 years","Male",6,"rural"
2016,"Lassen","40 - 44 years","Male",6,"rural"
2016,"Lassen","50 - 54 years","Male",6,"rural"
2016,"Lassen","55 - 59 years","Male",6,"rural"
2016,"Lassen","60 - 64 years","Male",24,"rural"
2016,"Lassen","20 - 24 years","Male",6,"rural"
2016,"Lassen","100 years and over","Female",6,"rural"
2016,"Lassen","95 - 99 years","Female",6,"rural"
2016,"Lassen","85 - 89 years","Female",16,"rural"
2016,"Lassen","80 - 84 years","Female",6,"rural"
2016,"Lassen","75 - 79 years","Female",12,"rural"
2016,"Lassen","65 - 69 years","Female",11,"rural"
2016,"Lassen","60 - 64 years","Female",6,"rural"
2016,"Lassen","55 - 59 years","Female",6,"rural"
2016,"Lassen","45 - 49 years","Female",6,"rural"
2016,"Lassen","40 - 44 years","Female",6,"rural"
2016,"Lassen","35 - 39 years","Male",6,"rural"
2016,"Lassen","35 - 39 years","Female",0,"rural"
2016,"Lassen","25 - 29 years","Female",6,"rural"
2016,"Lassen","20 - 24 years","Female",0,"rural"
2016,"Lassen","15 - 19 years","Female",0,"rural"
2016,"Lassen","10 - 14 years","Female",0,"rural"
2016,"Lassen","5 - 9 years","Male",0,"rural"
2016,"Lassen","5 - 9 years","Female",0,"rural"
2016,"Lassen","1 - 4 years","Female",0,"rural"
2016,"Lassen","Less than 1 year","Female",6,"rural"
2018,"Lassen","10 - 14 years","Female",6,"rural"
2018,"Lassen","10 - 14 years","Male",0,"rural"
2017,"Lassen","75 - 79 years","Male",18,"rural"
2016,"Lassen","30 - 34 years","Female",0,"rural"
2017,"Lassen","80 - 84 years","Male",16,"rural"
2016,"Lassen","45 - 49 years","Male",6,"rural"
2016,"Lassen","50 - 54 years","Female",6,"rural"
2017,"Lassen","80 - 84 years","Female",6,"rural"
2016,"Lassen","70 - 74 years","Female",19,"rural"
2016,"Lassen","65 - 69 years","Male",20,"rural"
2017,"Lassen","85 - 89 years","Female",13,"rural"
2016,"Lassen","85 - 89 years","Male",13,"rural"
2017,"Lassen","90 - 94 years","Male",6,"rural"
2017,"Lassen","90 - 94 years","Female",19,"rural"
2017,"Lassen","95 - 99 years","Male",6,"rural"
2017,"Lassen","85 - 89 years","Male",17,"rural"
2017,"Lassen","95 - 99 years","Female",6,"rural"
2017,"Lassen","100 years and over","Female",6,"rural"
2016,"Lassen","90 - 94 years","Female",20,"rural"
2017,"Lassen","100 years and over","Male",6,"rural"
2017,"Lassen","75 - 79 years","Female",12,"rural"
2015,"Lassen","85 - 89 years","Male",6,"rural"
2015,"Lassen","95 - 99 years","Male",6,"rural"
2015,"Lassen","100 years and over","Male",0,"rural"
2015,"Lassen","85 - 89 years","Female",13,"rural"
2015,"Lassen","75 - 79 years","Female",6,"rural"
2014,"Lassen","80 - 84 years","Male",16,"rural"
2014,"Lassen","Less than 1 year","Female",0,"rural"
2014,"Lassen","95 - 99 years","Male",6,"rural"
2014,"Lassen","90 - 94 years","Female",6,"rural"
2015,"Lassen","55 - 59 years","Male",6,"rural"
2015,"Lassen","100 years and over","Female",6,"rural"
2014,"Lassen","40 - 44 years","Female",6,"rural"
2015,"Lassen","90 - 94 years","Female",17,"rural"
2014,"Lassen","30 - 34 years","Female",0,"rural"
2014,"Lassen","10 - 14 years","Female",0,"rural"
2015,"Lassen","50 - 54 years","Female",6,"rural"
2014,"Lassen","10 - 14 years","Male",0,"rural"
2015,"Lassen","60 - 64 years","Male",16,"rural"
2014,"Lassen","5 - 9 years","Female",0,"rural"
2014,"Lassen","85 - 89 years","Male",6,"rural"
2014,"Lassen","75 - 79 years","Male",14,"rural"
2014,"Lassen","65 - 69 years","Male",16,"rural"
2014,"Lassen","60 - 64 years","Male",6,"rural"
2014,"Lassen","50 - 54 years","Male",6,"rural"
2014,"Lassen","45 - 49 years","Male",6,"rural"
2014,"Lassen","35 - 39 years","Male",6,"rural"
2014,"Lassen","25 - 29 years","Male",6,"rural"
2015,"Lassen","65 - 69 years","Female",6,"rural"
2014,"Lassen","5 - 9 years","Male",0,"rural"
2014,"Lassen","1 - 4 years","Male",0,"rural"
2014,"Lassen","Less than 1 year","Male",6,"rural"
2015,"Lassen","45 - 49 years","Male",6,"rural"
2015,"Lassen","45 - 49 years","Female",0,"rural"
2015,"Lassen","40 - 44 years","Female",6,"rural"
2015,"Lassen","35 - 39 years","Male",6,"rural"
2015,"Lassen","65 - 69 years","Male",17,"rural"
2015,"Lassen","35 - 39 years","Female",0,"rural"
2015,"Lassen","30 - 34 years","Male",6,"rural"
2015,"Lassen","30 - 34 years","Female",0,"rural"
2015,"Lassen","25 - 29 years","Male",0,"rural"
2015,"Lassen","25 - 29 years","Female",0,"rural"
2015,"Lassen","20 - 24 years","Male",6,"rural"
2015,"Lassen","20 - 24 years","Female",6,"rural"
2015,"Lassen","60 - 64 years","Female",6,"rural"
2015,"Lassen","15 - 19 years","Male",6,"rural"
2015,"Lassen","15 - 19 years","Female",6,"rural"
2015,"Lassen","10 - 14 years","Male",0,"rural"
2015,"Lassen","10 - 14 years","Female",0,"rural"
2015,"Lassen","5 - 9 years","Male",0,"rural"
2015,"Lassen","70 - 74 years","Male",17,"rural"
2015,"Lassen","5 - 9 years","Female",0,"rural"
2015,"Lassen","70 - 74 years","Female",6,"rural"
2014,"Lassen","15 - 19 years","Female",6,"rural"
2015,"Lassen","1 - 4 years","Male",0,"rural"
2015,"Lassen","90 - 94 years","Male",13,"rural"
2014,"Lassen","20 - 24 years","Male",6,"rural"
2015,"Lassen","1 - 4 years","Female",6,"rural"
2014,"Lassen","20 - 24 years","Female",0,"rural"
2015,"Lassen","Less than 1 year","Male",6,"rural"
2015,"Lassen","95 - 99 years","Female",6,"rural"
2015,"Lassen","Less than 1 year","Female",0,"rural"
2014,"Lassen","15 - 19 years","Male",0,"rural"
2015,"Lassen","75 - 79 years","Male",11,"rural"
2015,"Lassen","80 - 84 years","Female",17,"rural"
2015,"Lassen","40 - 44 years","Male",6,"rural"
2015,"Lassen","80 - 84 years","Male",14,"rural"
2014,"Lassen","30 - 34 years","Male",6,"rural"
2015,"Lassen","50 - 54 years","Male",6,"rural"
2014,"Lassen","45 - 49 years","Female",6,"rural"
2014,"Lassen","40 - 44 years","Male",6,"rural"
2014,"Lassen","50 - 54 years","Female",6,"rural"
2014,"Lassen","60 - 64 years","Female",6,"rural"
2014,"Lassen","55 - 59 years","Male",6,"rural"
2014,"Lassen","65 - 69 years","Female",12,"rural"
2014,"Lassen","70 - 74 years","Female",6,"rural"
2014,"Lassen","55 - 59 years","Female",6,"rural"
2014,"Lassen","80 - 84 years","Female",16,"rural"
2014,"Lassen","85 - 89 years","Female",16,"rural"
2014,"Lassen","25 - 29 years","Female",0,"rural"
2015,"Lassen","55 - 59 years","Female",6,"rural"
2014,"Lassen","35 - 39 years","Female",0,"rural"
2014,"Lassen","95 - 99 years","Female",6,"rural"
2014,"Lassen","90 - 94 years","Male",6,"rural"
2014,"Lassen","75 - 79 years","Female",6,"rural"
2014,"Lassen","1 - 4 years","Female",0,"rural"
2014,"Lassen","100 years and over","Male",0,"rural"
2014,"Lassen","70 - 74 years","Male",6,"rural"
2014,"Lassen","100 years and over","Female",6,"rural"
2015,"Los Angeles","85 - 89 years","Female",5020,"urban"
2015,"Los Angeles","35 - 39 years","Male",504,"urban"
2015,"Los Angeles","85 - 89 years","Male",4024,"urban"
2014,"Los Angeles","10 - 14 years","Female",22,"urban"
