"Year_of_Death","County_of_Residence","Age","Sex","Total_Deaths_sex","Description"
2015,"Alameda","100 years and over","Male",29,"urban"
2016,"Alameda","55 - 59 years","Male",320,"urban"
2016,"Alameda","25 - 29 years","Female",25,"urban"
2015,"Alameda","45 - 49 years","Male",133,"urban"
2017,"Alameda","60 - 64 years","Female",278,"urban"
2016,"Alameda","90 - 94 years","Male",488,"urban"
2015,"Alameda","55 - 59 years","Male",348,"urban"
2015,"Alameda","60 - 64 years","Male",419,"urban"
2016,"Alameda","Less than 1 year","Female",37,"urban"
2017,"Alameda","20 - 24 years","Male",54,"urban"
2017,"Alameda","85 - 89 years","Male",638,"urban"
2016,"Alameda","70 - 74 years","Female",401,"urban"
2017,"Alameda","60 - 64 years","Male",415,"urban"
2016,"Alameda","45 - 49 years","Female",100,"urban"
2017,"Alameda","25 - 29 years","Male",48,"urban"
2017,"Alameda","80 - 84 years","Female",629,"urban"
2016,"Alameda","95 - 99 years","Female",443,"urban"
2016,"Alameda","15 - 19 years","Male",27,"urban"
2017,"Alameda","95 - 99 years","Male",213,"urban"
2016,"Alameda","100 years and over","Male",35,"urban"
2015,"Alameda","100 years and over","Female",117,"urban"
2016,"Alameda","20 - 24 years","Male",64,"urban"
2017,"Alameda","30 - 34 years","Female",26,"urban"
2017,"Alameda","75 - 79 years","Male",498,"urban"
2015,"Alameda","70 - 74 years","Female",386,"urban"
2015,"Alameda","60 - 64 years","Female",305,"urban"
2016,"Alameda","35 - 39 years","Female",30,"urban"
2015,"Alameda","75 - 79 years","Male",467,"urban"
2015,"Alameda","10 - 14 years","Male",6,"urban"
2016,"Alameda","85 - 89 years","Male",626,"urban"
2016,"Alameda","10 - 14 years","Male",6,"urban"
2015,"Alameda","85 - 89 years","Female",830,"urban"
2016,"Alameda","Less than 1 year","Male",34,"urban"
2016,"Alameda","20 - 24 years","Female",13,"urban"
2017,"Alameda","85 - 89 years","Female",805,"urban"
2015,"Alameda","90 - 94 years","Male",465,"urban"
2017,"Alameda","5 - 9 years","Female",6,"urban"
2015,"Alameda","Less than 1 year","Female",35,"urban"
2017,"Alameda","90 - 94 years","Male",511,"urban"
2015,"Alameda","40 - 44 years","Male",79,"urban"
2017,"Alameda","35 - 39 years","Female",33,"urban"
2016,"Alameda","40 - 44 years","Male",81,"urban"
2017,"Alameda","100 years and over","Female",134,"urban"
2017,"Alameda","90 - 94 years","Female",849,"urban"
2015,"Alameda","35 - 39 years","Female",55,"urban"
2016,"Alameda","50 - 54 years","Female",139,"urban"
2017,"Alameda","45 - 49 years","Male",147,"urban"
2016,"Alameda","1 - 4 years","Male",6,"urban"
2016,"Alameda","50 - 54 years","Male",222,"urban"
2015,"Alameda","5 - 9 years","Female",6,"urban"
2015,"Alameda","65 - 69 years","Male",479,"urban"
2015,"Alameda","25 - 29 years","Female",22,"urban"
2015,"Alameda","20 - 24 years","Female",12,"urban"
2015,"Alameda","70 - 74 years","Male",455,"urban"
2016,"Alameda","80 - 84 years","Female",603,"urban"
2015,"Alameda","1 - 4 years","Female",6,"urban"
2015,"Alameda","20 - 24 years","Male",70,"urban"
2016,"Alameda","30 - 34 years","Female",35,"urban"
2015,"Alameda","35 - 39 years","Male",82,"urban"
2017,"Alameda","80 - 84 years","Male",582,"urban"
2017,"Alameda","100 years and over","Male",40,"urban"
2015,"Alameda","40 - 44 years","Female",63,"urban"
2017,"Alameda","75 - 79 years","Female",498,"urban"
2016,"Alameda","65 - 69 years","Female",335,"urban"
2017,"Alameda","50 - 54 years","Male",220,"urban"
2015,"Alameda","50 - 54 years","Female",157,"urban"
2017,"Alameda","55 - 59 years","Female",213,"urban"
2017,"Alameda","40 - 44 years","Male",92,"urban"
2016,"Alameda","80 - 84 years","Male",531,"urban"
2017,"Alameda","40 - 44 years","Female",41,"urban"
2017,"Alameda","30 - 34 years","Male",72,"urban"
2017,"Alameda","20 - 24 years","Female",12,"urban"
2016,"Alameda","1 - 4 years","Female",6,"urban"
2017,"Alameda","50 - 54 years","Female",117,"urban"
2019,"Alameda","100 years and over","Male",37,"urban"
2018,"Alameda","Less than 1 year","Male",31,"urban"
2021,"Alameda","80 - 84 years","Male",251,"urban"
2019,"Alameda","15 - 19 years","Male",26,"urban"
2021,"Alameda","1 - 4 years","Female",6,"urban"
2021,"Alameda","Less than 1 year","Female",6,"urban"
2021,"Alameda","45 - 49 years","Male",60,"urban"
2018,"Alameda","80 - 84 years","Male",637,"urban"
2021,"Alameda","65 - 69 years","Male",212,"urban"
2020,"Alameda","5 - 9 years","Male",6,"urban"
2019,"Alameda","85 - 89 years","Male",630,"urban"
2018,"Alameda","100 years and over","Male",26,"urban"
2020,"Alameda","35 - 39 years","Female",38,"urban"
2019,"Alameda","45 - 49 years","Female",90,"urban"
2019,"Alameda","1 - 4 years","Male",6,"urban"
2021,"Alameda","50 - 54 years","Male",90,"urban"
2020,"Alameda","10 - 14 years","Female",6,"urban"
2018,"Alameda","5 - 9 years","Male",6,"urban"
2021,"Alameda","60 - 64 years","Male",194,"urban"
2018,"Alameda","55 - 59 years","Female",204,"urban"
2019,"Alameda","90 - 94 years","Female",807,"urban"
2018,"Alameda","25 - 29 years","Female",23,"urban"
2018,"Alameda","40 - 44 years","Female",54,"urban"
2020,"Alameda","85 - 89 years","Female",833,"urban"
2021,"Alameda","5 - 9 years","Female",6,"urban"
2018,"Alameda","15 - 19 years","Male",30,"urban"
2018,"Alameda","5 - 9 years","Female",6,"urban"
2018,"Alameda","75 - 79 years","Female",486,"urban"
2018,"Alameda","35 - 39 years","Female",49,"urban"
2020,"Alameda","95 - 99 years","Female",537,"urban"
